"CellTypeMarkerSet","symbol","loc_id","provenance","repair_note"
"Endothelial cells","CAV1","CAV1","S1",""
"Endothelial cells","NOSTRIN","LOC116938778","S1",""
"Endothelial cells","PALMD","PALMD","S1",""
"Endothelial cells","SOX18","LOC116941541","S1",""
"Endothelial cells","SOX7","SOX7","S1",""
"Endothelial cells","VEGFR1","LOC116955055","S1",""
"Endothelial cells","VWF","VWF","S1",""
"Erythrocytes","globin-1","LOC116951579","S1",""
"Erythrocytes","globin-2","LOC116951663","S1",""
"Erythrocytes","globin-3","LOC116951566","S1",""
"Erythrocytes","globin-5","LOC116951552","S1",""
"Fibroblasts","COL1A1","LOC116938328","S1",""
"Fibroblasts","LUM","LOC116942456","S1",""
"Fibroblasts","PDGFRA","LOC116939357","S1",""
"Fibroblasts","POSTN","POSTN","S1",""
"Granulosa cells","FAM13A","LOC116940195","S1",""
"Granulosa cells","FN1","LOC116943884","S1",""
"Granulosa cells","FOXL2","LOC116946948","S1",""
"Granulosa cells","FST","FST","S1",""
"Granulosa cells","GLDC","GLDC","S1",""
"Hemopoietic stem cells","KIT","LOC116943571","S1",""
"Hemopoietic stem cells","PTPRC","LOC116944884","S1",""
"Macrophages","CSF1R","LOC116955069","S1, symbol corrected","S1 wrote CD115, which does not resolve in the gene table."
"Mesenephric podocytes","KIRREL1","LOC116957234","S1, symbol corrected","S1 wrote NEPH1, which does not resolve in the gene table."
"Mesenephric podocytes","NPHS1","LOC116957426","S1",""
"Mesonephric cells","AQP3","LOC116941057","S1",""
"Mesonephric cells","CUBN","CUBN","S1",""
"Mesonephric cells","KCNJ1","KCNJ1","S1",""
"Mesonephric cells","LRP2","LRP2","S1",""
"Mesonephric cells","MIOX","MIOX","S1",""
"Mesonephric cells","PAX2","PAX2","S1",""
"Mesonephric cells","VIM","LOC116940419","S1",""
"Migrating germ cells","IFITM3","LOC116945616","S1","S1 writes IFITM3 (LOC116945616). The symbol IFITM3 matches nothing in the gene table, so the entry resolves through the LOC. The gene table annotates it as dispanin subfamily A member 2b-like, which is not a different gene: DSPA2b is an NCBI alias of Ifitm3 (mouse Gene ID 66141), as DSPA2a is of human IFITM1. The S1 label and the annotation agree."
"Migrating germ cells","PIWIL1","PIWIL1","S1",""
"Oocyte","DDX4","DDX4","S1",""
"Oocyte","LHX8","LOC116944806","S1",""
"Oocyte","ZAR1L","ZAR1L","S1, symbol corrected","S1 wrote ZAR1, which does not resolve in the gene table."
"Oocyte","ZP2","LOC116946906","S1",""
"Oocyte","ZP3","LOC116937004","S1",""
"Oocyte","ZP4","LOC116937006","S1",""
"Pre-granulosa cells","FOXL2","LOC116946948","S1",""
"Pre-granulosa cells","LGR5","LGR5","S1",""
"Pre-granulosa cells","NR5A1","LOC116944875","S1",""
"Primordial germ cells","ALPL","ALPL","S1",""
"Primordial germ cells","DDX4","DDX4","S1",""
"Primordial germ cells","PRDM1","LOC116952900","S1",""
"Primordial germ cells","PRDM14","PRDM14","S1",""
"Spermatocytes","BOLL","BOLL","S1",""
"Spermatocytes","DMC1","DMC1","S1",""
"Spermatocytes","SYCP3","SYCP3","S1",""
"Spermatocytes","TEX11","TEX11","S1",""
"Spermatocytes","TEX15","TEX15","S1",""
"Spermatogonial stem cells","PAX7","PAX7","S1",""
