"CellTypeMarkerSet","symbol","loc_id","provenance","repair_note","sources"
"Endothelial cells","CAV1","CAV1","S1","",""
"Endothelial cells","NOSTRIN","LOC116938778","S1","",""
"Endothelial cells","PALMD","PALMD","S1","",""
"Endothelial cells","SOX18","LOC116941541","S1","",""
"Endothelial cells","SOX7","SOX7","S1","",""
"Endothelial cells","VEGFR1","LOC116955055","S1","",""
"Endothelial cells","VWF","VWF","S1","",""
"Erythrocytes","globin-1","LOC116951579","S1","",""
"Erythrocytes","globin-2","LOC116951663","S1","",""
"Erythrocytes","globin-3","LOC116951566","S1","",""
"Erythrocytes","globin-5","LOC116951552","S1","",""
"Fibroblasts","COL1A1","LOC116938328","S1","",""
"Fibroblasts","LUM","LOC116942456","S1","",""
"Fibroblasts","PDGFRA","LOC116939357","S1","",""
"Fibroblasts","POSTN","POSTN","S1","",""
"Germ cells (pan-germline)","ASZ1","ASZ1","added, set cited","","Germ cell markers in fishes review, Aquaculture and Fisheries 2022, not PubMed indexed | Yasmin T et al. 2022, Commun Biol 5:434, PMID 35538209"
"Germ cells (pan-germline)","DDX4","DDX4","S1","","Germ cell markers in fishes review, Aquaculture and Fisheries 2022, not PubMed indexed | Yasmin T et al. 2022, Commun Biol 5:434, PMID 35538209"
"Germ cells (pan-germline)","MAEL","MAEL","added, set cited","","Germ cell markers in fishes review, Aquaculture and Fisheries 2022, not PubMed indexed | Yasmin T et al. 2022, Commun Biol 5:434, PMID 35538209"
"Germ cells (pan-germline)","NANOS1","NANOS1","added, set cited","","Germ cell markers in fishes review, Aquaculture and Fisheries 2022, not PubMed indexed | Yasmin T et al. 2022, Commun Biol 5:434, PMID 35538209"
"Germ cells (pan-germline)","PIWIL1","PIWIL1","S1","","Germ cell markers in fishes review, Aquaculture and Fisheries 2022, not PubMed indexed | Yasmin T et al. 2022, Commun Biol 5:434, PMID 35538209"
"Germ cells (pan-germline)","PIWIL2","LOC116940246","added, set cited","","Germ cell markers in fishes review, Aquaculture and Fisheries 2022, not PubMed indexed | Yasmin T et al. 2022, Commun Biol 5:434, PMID 35538209"
"Germ cells (pan-germline)","RBM46","LOC116937137","added, set cited","","Germ cell markers in fishes review, Aquaculture and Fisheries 2022, not PubMed indexed | Yasmin T et al. 2022, Commun Biol 5:434, PMID 35538209"
"Germ cells (pan-germline)","TDRD1","LOC116941448","added, set cited","","Germ cell markers in fishes review, Aquaculture and Fisheries 2022, not PubMed indexed | Yasmin T et al. 2022, Commun Biol 5:434, PMID 35538209"
"Germ cells (pan-germline)","TDRD7","TDRD7","added, set cited","","Germ cell markers in fishes review, Aquaculture and Fisheries 2022, not PubMed indexed | Yasmin T et al. 2022, Commun Biol 5:434, PMID 35538209"
"Granulosa cells","FAM13A","LOC116940195","S1","",""
"Granulosa cells","FN1","LOC116943884","S1","",""
"Granulosa cells","FOXL2","LOC116946948","S1","",""
"Granulosa cells","FST","FST","S1","",""
"Granulosa cells","GLDC","GLDC","S1","",""
"Hemopoietic stem cells","GATA2","GATA2","added, set cited","","Kobayashi I et al. 2019, Sci Rep 9:14205, PMID 31578390 | Gata2b zebrafish, bioRxiv preprint, authors not verified"
"Hemopoietic stem cells","KIT","LOC116943571","S1","","Kobayashi I et al. 2019, Sci Rep 9:14205, PMID 31578390 | Gata2b zebrafish, bioRxiv preprint, authors not verified"
"Hemopoietic stem cells","LMO2","LMO2","added, set cited","","Kobayashi I et al. 2019, Sci Rep 9:14205, PMID 31578390 | Gata2b zebrafish, bioRxiv preprint, authors not verified"
"Hemopoietic stem cells","MYB","MYB","added, set cited","","Kobayashi I et al. 2019, Sci Rep 9:14205, PMID 31578390 | Gata2b zebrafish, bioRxiv preprint, authors not verified"
"Hemopoietic stem cells","PTPRC","LOC116944884","S1","","Kobayashi I et al. 2019, Sci Rep 9:14205, PMID 31578390 | Gata2b zebrafish, bioRxiv preprint, authors not verified"
"Hemopoietic stem cells","RUNX1","LOC116952997","added, set cited","","Kobayashi I et al. 2019, Sci Rep 9:14205, PMID 31578390 | Gata2b zebrafish, bioRxiv preprint, authors not verified"
"Hemopoietic stem cells","TAL1","LOC116948939","added, set cited","","Kobayashi I et al. 2019, Sci Rep 9:14205, PMID 31578390 | Gata2b zebrafish, bioRxiv preprint, authors not verified"
"Macrophages","CSF1R","LOC116955069","S1, symbol corrected","S1 wrote CD115, which does not resolve in the gene table.",""
"Mesenephric podocytes","KIRREL1","LOC116957234","S1, symbol corrected","S1 wrote NEPH1, which does not resolve in the gene table.","Drummond BE et al. 2023, J Dev Biol 11:9, PMID 36810461 | Dong L et al. 2015, J Am Soc Nephrol 26:2118-2128, PMID 25556170 | Zebrafish podocyte review, Am J Physiol Renal Physiol 2023, not confirmed on PubMed"
"Mesenephric podocytes","LMX1B","LMX1B","added, set cited","","Drummond BE et al. 2023, J Dev Biol 11:9, PMID 36810461 | Dong L et al. 2015, J Am Soc Nephrol 26:2118-2128, PMID 25556170 | Zebrafish podocyte review, Am J Physiol Renal Physiol 2023, not confirmed on PubMed"
"Mesenephric podocytes","MAFB","LOC116954108","added, set cited","","Drummond BE et al. 2023, J Dev Biol 11:9, PMID 36810461 | Dong L et al. 2015, J Am Soc Nephrol 26:2118-2128, PMID 25556170 | Zebrafish podocyte review, Am J Physiol Renal Physiol 2023, not confirmed on PubMed"
"Mesenephric podocytes","NPHS1","LOC116957426","S1","","Drummond BE et al. 2023, J Dev Biol 11:9, PMID 36810461 | Dong L et al. 2015, J Am Soc Nephrol 26:2118-2128, PMID 25556170 | Zebrafish podocyte review, Am J Physiol Renal Physiol 2023, not confirmed on PubMed"
"Mesenephric podocytes","PTPRO","LOC116939849","added, set cited","","Drummond BE et al. 2023, J Dev Biol 11:9, PMID 36810461 | Dong L et al. 2015, J Am Soc Nephrol 26:2118-2128, PMID 25556170 | Zebrafish podocyte review, Am J Physiol Renal Physiol 2023, not confirmed on PubMed"
