CellTypeMarkerSet,symbol,loc_id,confidence,basis
Endothelial cells,CAV1,CAV1,B,"Caveolin 1, endothelial. Unchanged from S1."
Endothelial cells,NOSTRIN,LOC116938778,B,Nitric oxide synthase trafficker. Unchanged from S1.
Endothelial cells,PALMD,PALMD,B,Palmdelphin. Unchanged from S1.
Endothelial cells,SOX18,LOC116941541,A,Endothelial transcription factor. Unchanged from S1.
Endothelial cells,SOX7,SOX7,A,Endothelial transcription factor. Unchanged from S1.
Endothelial cells,VEGFR1,LOC116955055,A,FLT1. Unchanged from S1.
Endothelial cells,VWF,VWF,A,von Willebrand factor. Unchanged from S1.
Erythrocytes,globin-1,LOC116951579,A,"REPAIRED. S1 wrote GLOBIN1, which does not resolve."
Erythrocytes,globin-2,LOC116951663,A,"REPAIRED. S1 wrote GLOBIN2, which does not resolve."
Erythrocytes,globin-3,LOC116951566,A,"Unchanged from S1, resolved via its LOC."
Erythrocytes,globin-5,LOC116951552,A,"REPAIRED. S1 wrote GLOBIN5, which does not resolve."
Fibroblasts,COL1A1,LOC116938328,A,Collagen I. Unchanged from S1.
Fibroblasts,LUM,LOC116942456,B,Lumican. Unchanged from S1.
Fibroblasts,PDGFRA,LOC116939357,A,Unchanged from S1.
Fibroblasts,POSTN,POSTN,B,Periostin. Unchanged from S1.
Granulosa cells,FAM13A,LOC116940195,C,Unchanged from S1.
Granulosa cells,FN1,LOC116943884,C,"Fibronectin, not granulosa specific. Unchanged from S1."
Granulosa cells,FOXL2,LOC116946948,A,Core granulosa transcription factor. Unchanged from S1.
Granulosa cells,FST,FST,B,Follistatin. Unchanged from S1.
Granulosa cells,GLDC,GLDC,C,Unchanged from S1.
Hemopoietic stem cells,KIT,LOC116943571,A,Unchanged from S1.
Hemopoietic stem cells,PTPRC,LOC116944884,B,"CD45. Jawed vertebrate convention, see notes."
Hemopoietic stem cells,RUNX1,LOC116952997,A,"ADDED. Core HSC transcription factor, zebrafish HSPC."
Hemopoietic stem cells,MYB,MYB,A,"ADDED. Core HSC transcription factor, zebrafish HSPC."
Hemopoietic stem cells,GATA2,GATA2,A,"ADDED. Core HSC transcription factor, zebrafish HSPC."
Hemopoietic stem cells,TAL1,LOC116948939,A,ADDED. Also marks hemogenic endothelium.
Hemopoietic stem cells,LMO2,LMO2,A,ADDED. Also marks hemogenic endothelium.
Macrophages,CSF1R,LOC116955069,A,Unchanged from S1. S1 listed it twice as CD115/CSF1R.
Macrophages,IRF8,LOC116955985,A,"ADDED. Macrophage versus neutrophil fate, zebrafish."
Macrophages,MRC1,LOC116954690,B,ADDED. Mannose receptor.
